Titel;Locatie;Uren;Duur;Link
PMO / Projectsecretaris Menselijk Kapitaal Kop van de Veluwe;Oldebroek;20 u p/w;4 maanden;https://www.bluetrail.nl/opdrachten/Interim/pmo-projectsecretaris-menselijk-kapitaal-kop-van-de-veluwe/
Programmasecretaris Human Capital Agenda;Zwolle;24 u p/w;6 maanden;https://www.bluetrail.nl/opdrachten/Interim/programmasecretaris-human-capital-agenda/
Procesbegeleider Hattems Zorgakkoord;Hattem;12 u p/w;4 maanden;https://www.bluetrail.nl/opdrachten/Interim/procesbegeleider-hattems-zorgakkoord/
Projectmedewerker Mobiliteit;Utrecht;24-40 u p/w;6 maanden;https://www.bluetrail.nl/opdrachten/Interim/projectmedewerker-mobiliteit/
Projectleider Openbare Selectieprocedure;Utrecht;16 - 24 u p/w;12 maanden;https://www.bluetrail.nl/opdrachten/Interim/projectleider-openbare-selectieprocedure/
Mensgerichte Kwartiermaker / Coördinator Informatiemanagement;Alphen aan den Rijn en thuiswerken;24-36 u p/w;6 maanden;https://www.bluetrail.nl/opdrachten/Interim/mensgerichte-kwartiermaker-coordinator-informatiemanagement/
Projectleider IV Verhardingen;Amsterdam;32 - 36 u p/w;12 maanden;https://www.bluetrail.nl/opdrachten/Interim/projectleider-iv-verhardingen/
Adviseur Aanpak Maatschappelijke Onrust;Den Haag;24 - 36 u p/w;3 maanden;https://www.bluetrail.nl/opdrachten/Interim/adviseur-aanpak-maatschappelijke-onrust/
Coördinator Ontwikkeling Ketenbureau i-Sociaal Domein;Utrecht;36 u p/w;4 maanden;https://www.bluetrail.nl/opdrachten/Interim/coordinator-ontwikkeling-ketenbureau-i-sociaal-domein/
Projectmedewerker Monitoring Luchtkwaliteit;Amsterdam;32 u p/w;6 maanden;https://www.bluetrail.nl/opdrachten/Interim/projectmedewerker-monitoring-luchtkwaliteit/
Projectleider Vastgoed;Tilburg;24 u p/w;16 maanden;https://www.bluetrail.nl/opdrachten/Interim/projectleider-vastgoed/
Organisatieadviseur HRM, Sr.;Barneveld;32 u p/w;6 maanden;https://www.bluetrail.nl/opdrachten/Interim/organisatieadviseur-hrm-sr/
Assistent Projectmanager Verduurzaming Vastgoed;Amersfoort;24-36 u p/w;12 maanden;https://www.bluetrail.nl/opdrachten/Interim/assistent-projectmanager-verduurzaming-vastgoed/
Full Stack GEO Data Devops;Den Haag (hybride werken is de standaard);32 u p/w;4 maanden;https://www.bluetrail.nl/opdrachten/Interim/full-stack-geo-data-devops/
